,authors,title,venue,year,type,id,cited by,title_ranking
3571,"A. M. Mutawa, Salah Alnajem, Fadi Alzhouri",An HPSG approach to Arabic nominal sentences.,J. Assoc. Inf. Sci. Technol.,2008,Journal Articles,anhpsgapproachtoarabicnominalsentences2008,,HPSG approach Arabic nominal sentences
3572,"Mansour M. Alghamdi, Fayez A. Alhargan, Mohamed I. Alkanhal, Ashraf Alkhairy, Munir Eldesouki, Ammar Alenazi",Saudi Accented Arabic Voice Bank.,J. King Saud Univ. Comput. Inf. Sci.,2008,Journal Articles,saudiaccentedarabicvoicebank2008,,Saudi Accented Arabic Voice Bank
3573,"Wafa Boussellaa, Abderrazak Zahour, Adel M. Alimi",A Methodology for the Separation of Foreground/Background in Arabic Historical Manuscripts using Hybrid Methods.,J. Univers. Comput. Sci.,2008,Journal Articles,amethodologyfortheseparationofforegroundbackgroundinarabichistoricalmanuscriptsusinghybridmethods2008,,Methodology Separation ForegroundBackground Arabic Historical Manuscripts Hybrid Methods
3574,Alex M. Andrew,Arabic calligraphy - phishing.,Kybernetes,2008,Journal Articles,arabiccalligraphyphishing2008,,Arabic calligraphy phishing
3575,"Azza Abdel Monem, Khaled Shaalan, Ahmed A. Rafea, Hoda Baraka",Generating Arabic text in multilingual speech-to-speech machine translation framework.,Mach. Transl.,2008,Journal Articles,generatingarabictextinmultilingualspeechtospeechmachinetranslationframework2008,,Generating Arabic text multilingual speechtospeech machine translation framework
3576,"Neila Mezghani, Amar Mitiche, Mohamed Cheriet",Bayes Classification of Online Arabic Characters by Gibbs Modeling of Class Conditional Densities.,IEEE Trans. Pattern Anal. Mach. Intell.,2008,Journal Articles,bayesclassificationofonlinearabiccharactersbygibbsmodelingofclassconditionaldensities2008,,Bayes Classification Online Arabic Characters Gibbs Modeling Class Conditional Densities
3577,"Maher Daoud, Christian Boitet","Methods for Handling Spontaneous E-commerce Arabic SMS - CATS, an Operational Proof of Concept.",Polytech. Open Libr. Int. Bull. Inf. Technol. Sci.,2008,Journal Articles,methodsforhandlingspontaneousecommercearabicsmscatsanoperationalproofofconcept2008,,Methods Handling Spontaneous Ecommerce Arabic SMS CATS Operational Proof Concept
3578,"Abdallah Benouareth, Abdel Ennaji, Mokhtar Sellami 0001",Semi-continuous HMMs with explicit state duration for unconstrained Arabic word modeling and recognition.,Pattern Recognit. Lett.,2008,Journal Articles,semicontinuoushmmswithexplicitstatedurationforunconstrainedarabicwordmodelingandrecognition2008,,Semicontinuous HMMs explicit duration unconstrained Arabic word modeling recognition
3579,"Saeed Mozaffari, Karim Faez, Volker Märgner, Haikal El Abed",Lexicon reduction using dots for off-line Farsi/Arabic handwritten word recognition.,Pattern Recognit. Lett.,2008,Journal Articles,lexiconreductionusingdotsforofflinefarsiarabichandwrittenwordrecognition2008,,Lexicon reduction dots offline FarsiArabic handwritten word recognition
3580,"Husni A. Al-Muhtaseb, Sabri A. Mahmoud, Rami Qahwaji",Recognition of off-line printed Arabic text using Hidden Markov Models.,Signal Process.,2008,Journal Articles,recognitionofofflineprintedarabictextusinghiddenmarkovmodels2008,,Recognition offline printed Arabic text Hidden Markov Models
3581,Yousif A. El-Imam,Synthesis of the intonation of neutrally spoken Modern Standard Arabic speech.,Signal Process.,2008,Journal Articles,synthesisoftheintonationofneutrallyspokenmodernstandardarabicspeech2008,,Synthesis intonation neutrally spoken Arabic speech
3582,Sabri A. Mahmoud,Recognition of writer-independent off-line handwritten Arabic (Indian) numerals using hidden Markov models.,Signal Process.,2008,Journal Articles,recognitionofwriterindependentofflinehandwrittenarabicindiannumeralsusinghiddenmarkovmodels2008,,Recognition writerindependent offline handwritten Arabic Indian numerals hidden Markov models
3583,"Fatima Chouireb, Mhania Guerti",Towards a high quality Arabic speech synthesis system based on neural networks and residual excited vocal tract model.,Signal Image Video Process.,2008,Journal Articles,towardsahighqualityarabicspeechsynthesissystembasedonneuralnetworksandresidualexcitedvocaltractmodel2008,,Towards quality Arabic speech synthesis system based neural networks residual excited vocal tract model
3584,"Anis Zouaghi, Mounir Zrigui, Georges Antoniadis",Automatic Understanding of Spontaneous Arabic Speech - A Numerical Model.,Trait. Autom. des Langues,2008,Journal Articles,automaticunderstandingofspontaneousarabicspeechanumericalmodel2008,,Automatic Understanding Spontaneous Arabic Speech Numerical Model
3585,"Ruhi Sarikaya, Mohamed Afify, Yonggang Deng, Hakan Erdogan, Yuqing Gao",Joint Morphological-Lexical Language Modeling for Processing Morphologically Rich Languages With Application to Dialectal Arabic.,IEEE Trans. Speech Audio Process.,2008,Journal Articles,jointmorphologicallexicallanguagemodelingforprocessingmorphologicallyrichlanguageswithapplicationtodialectalarabic2008,,Joint MorphologicalLexical Language Modeling Processing Morphologically Rich Languages Application Dialectal Arabic
3586,"Mohammad Shirali-Shahreza, Sajad Shirali-Shahreza",Persian/Arabic Unicode Text Steganography.,IAS,2008,Conference and Workshop Papers,persianarabicunicodetextsteganography2008,,PersianArabic Unicode Text Steganography
3587,"Ibrahim Badr, Rabih Zbib, James R. Glass",Segmentation for English-to-Arabic Statistical Machine Translation.,ACL,2008,Conference and Workshop Papers,segmentationforenglishtoarabicstatisticalmachinetranslation2008,,Segmentation EnglishtoArabic Statistical Machine Translation
3588,"Mona T. Diab, Alessandro Moschitti, Daniele Pighin",Semantic Role Labeling Systems for Arabic using Kernel Methods.,ACL,2008,Conference and Workshop Papers,semanticrolelabelingsystemsforarabicusingkernelmethods2008,,Semantic Role Labeling Systems Arabic Kernel Methods
3589,"Ryan Gabbard, Seth Kulick",Construct State Modification in the Arabic Treebank.,ACL,2008,Conference and Workshop Papers,constructstatemodificationinthearabictreebank2008,,Construct Modification Arabic Treebank
3590,Nizar Habash,Four Techniques for Online Handling of Out-of-Vocabulary Words in Arabic-English Statistical Machine Translation.,ACL,2008,Conference and Workshop Papers,fourtechniquesforonlinehandlingofoutofvocabularywordsinarabicenglishstatisticalmachinetranslation2008,,Techniques Online Handling OutofVocabulary Words ArabicEnglish Statistical Machine Translation
3591,Ilana Heintz,Arabic Language Modeling with Finite State Transducers.,ACL,2008,Conference and Workshop Papers,arabiclanguagemodelingwithfinitestatetransducers2008,,Arabic Language Modeling Finite Transducers
3592,"Jeffrey Micher, Clare R. Voss",Buckwalter-based Lookup Tool as Language Resource for Arabic Language Learners.,SETQALNLP,2008,Conference and Workshop Papers,buckwalterbasedlookuptoolaslanguageresourceforarabiclanguagelearners2008,,Buckwalterbased Lookup Tool Language Resource Arabic Language Learners
3593,"Ryan Roth, Owen Rambow, Nizar Habash, Mona T. Diab, Cynthia Rudin","Arabic Morphological Tagging, Diacritization, and Lemmatization Using Lexeme Models and Feature Ranking.",ACL,2008,Conference and Workshop Papers,arabicmorphologicaltaggingdiacritizationandlemmatizationusinglexememodelsandfeatureranking2008,182.0,Arabic Morphological Tagging Diacritization Lemmatization Lexeme Models Feature Ranking
3594,"Somaya Al-Máadeed, Amat-AlAleem Al-Kurbi, Amal Al-Muslih, Reem Al-Qahtani, Haend Al Kubisi",Writer identification of Arabic handwriting documents using grapheme features.,AICCSA,2008,Conference and Workshop Papers,writeridentificationofarabichandwritingdocumentsusinggraphemefeatures2008,,Writer identification Arabic handwriting documents grapheme features
3595,"Somaya Al-Máadeed, Eman Mohammed, Dori Al Kassis",Writer identification using edge-based directional probability distribution features for arabic words.,AICCSA,2008,Conference and Workshop Papers,writeridentificationusingedgebaseddirectionalprobabilitydistributionfeaturesforarabicwords2008,,Writer identification edgebased directional probability distribution features arabic words
3596,"Mohamed Fezari, Hamza Attoui, Mouldi Bedda",Arabic spotted words recognition system based on HMM approach to control a didactic manipulator.,AICCSA,2008,Conference and Workshop Papers,arabicspottedwordsrecognitionsystembasedonhmmapproachtocontroladidacticmanipulator2008,,Arabic spotted words recognition system based HMM approach control didactic manipulator
3597,"Fériel Ben Fraj, Chiraz Ben Othmane Zribi, Mohamed Ben Ahmed",Ensemble Classification for Parsing Arabic Texts - A Theoretical Approach.,Artificial Intelligence and Pattern Recognition,2008,Conference and Workshop Papers,ensembleclassificationforparsingarabictextsatheoreticalapproach2008,,Ensemble Classification Parsing Arabic Texts Theoretical Approach
3598,"Ali Selamat, Choon-Ching Ng",Arabic Script Documents Language Identifications Using Fuzzy ART.,Asia International Conference on Modelling and Simulation,2008,Conference and Workshop Papers,arabicscriptdocumentslanguageidentificationsusingfuzzyart2008,,Arabic Script Documents Language Identifications Fuzzy ART
3599,"Ali Selamat, Zhi-Sam Lee",Language Identifications of Arabic Script Web Documents Using Independent Component Analysis.,Asia International Conference on Modelling and Simulation,2008,Conference and Workshop Papers,languageidentificationsofarabicscriptwebdocumentsusingindependentcomponentanalysis2008,,Language Identifications Arabic Script Web Documents Independent Component Analysis
3600,"Tamer S. Fares, Awad H. Khalil, Abdel Fatah A. Hegazy",Usage of the HMM-Based Speech Synthesis for Intelligent Arabic Voice.,Computers and Their Applications,2008,Conference and Workshop Papers,usageofthehmmbasedspeechsynthesisforintelligentarabicvoice2008,,Usage HMMBased Speech Synthesis Intelligent Arabic Voice
3601,Ahmad M. Sarhan,Optimal Statistical Artificial Neural Networks for Arabic Character Recognition.,Computers and Their Applications,2008,Conference and Workshop Papers,optimalstatisticalartificialneuralnetworksforarabiccharacterrecognition2008,,Optimal Statistical Artificial Neural Networks Arabic Character Recognition
3602,"Suhel Jaber, Rodolfo Delmonte",Arabic Morphology Parsing Revisited.,CICLing,2008,Conference and Workshop Papers,arabicmorphologyparsingrevisited2008,,Arabic Morphology Parsing Revisited
3603,"Judith D. Schlesinger, Dianne P. O&apos;Leary, John M. Conroy",Arabic/English Multi-document Summarization with CLASSY - The Past and the Future.,CICLing,2008,Conference and Workshop Papers,arabicenglishmultidocumentsummarizationwithclassythepastandthefuture2008,,ArabicEnglish Multidocument Summarization CLASSY Past Future
3604,"Eiman Tamah Al-Shammari, Jessica Lin 0001",Towards an error-free Arabic stemming.,CIKM-iNEWS,2008,Conference and Workshop Papers,towardsanerrorfreearabicstemming2008,,Towards errorfree Arabic stemming
3605,"Fouad Slimane, Rolf Ingold, Adel M. Alimi, Jean Hennebert",Duration Models for Arabic Text Recognition Using Hidden Markov Models.,CIMCA/IAWTIC/ISE,2008,Conference and Workshop Papers,durationmodelsforarabictextrecognitionusinghiddenmarkovmodels2008,,Duration Models Arabic Text Recognition Hidden Markov Models
3606,"Hamdi A. Al-Jamimi, Sabri A. Mahmoud",Arabic Character Recognition Using Gabor Filters.,SCSS,2008,Conference and Workshop Papers,arabiccharacterrecognitionusinggaborfilters2008,,Arabic Character Recognition Gabor Filters
3607,"Majdi Sawalha, Eric Atwell",Comparative Evaluation of Arabic Language Morphological Analysers and Stemmers.,COLING,2008,Conference and Workshop Papers,comparativeevaluationofarabiclanguagemorphologicalanalysersandstemmers2008,,Comparative Evaluation Arabic Language Morphological Analysers Stemmers
3608,"ThuyLinh Nguyen, Stephan Vogel",Context-based Arabic Morphological Analysis for Machine Translation.,CoNLL,2008,Conference and Workshop Papers,contextbasedarabicmorphologicalanalysisformachinetranslation2008,,Contextbased Arabic Morphological Analysis Machine Translation
3609,"Nazih Ouwayed, Abdel Belaïd",Multi-oriented Text Line Extraction from Handwritten Arabic Documents.,Document Analysis Systems,2008,Conference and Workshop Papers,multiorientedtextlineextractionfromhandwrittenarabicdocuments2008,,Multioriented Text Line Extraction Handwritten Arabic Documents
3610,"Sargur N. Srihari, Gregory R. Ball",Writer Verification of Arabic Handwriting.,Document Analysis Systems,2008,Conference and Workshop Papers,writerverificationofarabichandwriting2008,,Writer Verification Arabic Handwriting
3611,"Abdelghani Bellaachia, Ghita Amor-Tijani",Enhanced Query Expansion in English-Arabic CLIR.,DEXA Workshops,2008,Conference and Workshop Papers,enhancedqueryexpansioninenglisharabicclir2008,,Enhanced Query Expansion EnglishArabic CLIR
3612,"Gregory R. Ball, Sargur N. Srihari",Writer adaptation in off-line Arabic handwriting recognition.,DRR,2008,Conference and Workshop Papers,writeradaptationinofflinearabichandwritingrecognition2008,,Writer adaptation offline Arabic handwriting recognition
3613,"Ramy El-Hajj, Chafic Mokbel, Laurence Likforman-Sulem",Recognition of Arabic handwritten words using contextual character models.,DRR,2008,Conference and Workshop Papers,recognitionofarabichandwrittenwordsusingcontextualcharactermodels2008,,Recognition Arabic handwritten words contextual character models
3614,"Ilya Zavorin, Eugene Borovikov, Ericson Davis, Anna Borovikov, Kristen Maria Summers",Combining different classification approaches to improve off-line Arabic handwritten word recognition.,DRR,2008,Conference and Workshop Papers,combiningdifferentclassificationapproachestoimproveofflinearabichandwrittenwordrecognition2008,,Combining classification approaches improve offline Arabic handwritten word recognition
3615,"Farag Ahmed, Andreas Nürnberger",Arabic/English word translation disambiguation using parallel corpora and matching schemes.,EAMT,2008,Conference and Workshop Papers,arabicenglishwordtranslationdisambiguationusingparallelcorporaandmatchingschemes2008,,ArabicEnglish word translation disambiguation parallel corpora matching schemes
3616,"Ahmed Hatem, Amin Nassar",Modified Dijkstra-like search algorithm for English to Arabic machine translation system.,EAMT,2008,Conference and Workshop Papers,modifieddijkstralikesearchalgorithmforenglishtoarabicmachinetranslationsystem2008,,Modified Dijkstralike search algorithm Arabic machine translation system
3617,"Yassine Benajiba, Mona T. Diab, Paolo Rosso",Arabic Named Entity Recognition using Optimized Feature Sets.,EMNLP,2008,Conference and Workshop Papers,arabicnamedentityrecognitionusingoptimizedfeaturesets2008,,Arabic Named Entity Recognition Optimized Feature Sets
3618,"Eiman Tamah Al-Shammari, Jessica Lin 0001",A new Arabic stemming algorithm.,ExLing,2008,Conference and Workshop Papers,anewarabicstemmingalgorithm2008,,Arabic stemming algorithm
3619,"Mansour M. Alghamdi, Fayez A. Alhargan, Mohamed I. Alkanhal, Ashraf Alkhairy, Munir Eldesouki, Ammar Alenazi",Saudi accented Arabic voice bank.,ExLing,2008,Conference and Workshop Papers,saudiaccentedarabicvoicebank2008,,Saudi accented Arabic voice bank
3620,"Amina Chentir, Mhania Guerti, Daniel J. Hirst",Classification by discriminant analysis of the energy in view of the detection of accentuated syllable in standard Arabic.,ExLing,2008,Conference and Workshop Papers,classificationbydiscriminantanalysisoftheenergyinviewofthedetectionofaccentuatedsyllableinstandardarabic2008,,Classification discriminant analysis energy view detection accentuated syllable Arabic
3621,"Ismaïl Biskri, Boucif Amar Bensaber",The Categorial Annotation of Coordination in Arabic.,FLAIRS Conference,2008,Conference and Workshop Papers,thecategorialannotationofcoordinationinarabic2008,,Categorial Annotation Coordination Arabic
3622,"Anna Feldman, Ghazi Abuhakema, Eileen Fitzpatrick",ARIDA - An Arabic Interlanguage Database and Its Applications - A Pilot Study.,FLAIRS Conference,2008,Conference and Workshop Papers,aridaanarabicinterlanguagedatabaseanditsapplicationsapilotstudy2008,,ARIDA Arabic Interlanguage Database Applications Pilot Study
3623,"Jalal Maleki, Maziar Yaesoubi, Lars Ahrenberg",Applying Finite State Morphology to Conversion Between Roman and Perso-Arabic Writing Systems.,FSMNLP,2008,Conference and Workshop Papers,applyingfinitestatemorphologytoconversionbetweenromanandpersoarabicwritingsystems2008,,Applying Finite Morphology Conversion Roman PersoArabic Writing Systems
3624,Sulieman Salem Alshuhri,Arabic Manuscripts in a Digital Library Context.,ICADL,2008,Conference and Workshop Papers,arabicmanuscriptsinadigitallibrarycontext2008,,Arabic Manuscripts Digital Library Context
3625,"Mohammed Mustafa, Hisham Abdalla, Hussein Suleman",Current Approaches in Arabic IR - A Survey.,ICADL,2008,Conference and Workshop Papers,currentapproachesinarabicirasurvey2008,14.0,Current Approaches Arabic IR Survey
3626,"Frank Diehl, Mark J. F. Gales, Marcus Tomalin, Philip C. Woodland",Phonetic pronunciations for arabic speech-to-text systems.,ICASSP,2008,Conference and Workshop Papers,phoneticpronunciationsforarabicspeechtotextsystems2008,,Phonetic pronunciations arabic speechtotext systems
3627,"Amani A. Al-Ajlan, Hend S. Al-Khalifa, AbdulMalik S. Al-Salman",Towards the development of an automatic readability measurements for arabic language.,ICDIM,2008,Conference and Workshop Papers,towardsthedevelopmentofanautomaticreadabilitymeasurementsforarabiclanguage2008,,Towards development automatic readability measurements arabic language
3628,"Ashraf AbdelRaouf, Colin A. Higgins, Mahmoud I. Khalil",A Database for Arabic Printed Character Recognition.,ICIAR,2008,Conference and Workshop Papers,adatabaseforarabicprintedcharacterrecognition2008,31.0,Database Arabic Printed Character Recognition
3629,Mohamed A. Ali,Arabic Handwritten Characters Classification Using Learning Vector Quantization Algorithm.,ICISP,2008,Conference and Workshop Papers,arabichandwrittencharactersclassificationusinglearningvectorquantizationalgorithm2008,,Arabic Handwritten Characters Classification Learning Vector Quantization Algorithm
3630,"Mustapha Amrouch, M. Elyassa, A. Rachidi, Driss Mammass",Off-Line Arabic Handwritten Characters Recognition Based on a Hidden Markov Models.,ICISP,2008,Conference and Workshop Papers,offlinearabichandwrittencharactersrecognitionbasedonahiddenmarkovmodels2008,,OffLine Arabic Handwritten Characters Recognition Based Hidden Markov Models
3631,"Imen Ben Cheikh, Abdel Belaïd, Afef Kacem",A novel approach for the recognition of a wide Arabic handwritten word lexicon.,ICPR,2008,Conference and Workshop Papers,anovelapproachfortherecognitionofawidearabichandwrittenwordlexicon2008,,novel approach recognition wide Arabic handwritten word lexicon
3632,"Philippe Dreuw, Stephan M. Jonas, Hermann Ney",White-space models for offline Arabic handwriting recognition.,ICPR,2008,Conference and Workshop Papers,whitespacemodelsforofflinearabichandwritingrecognition2008,,Whitespace models offline Arabic handwriting recognition
3633,"Sami Ben Moussa, Abderrazak Zahour, Abdellatif BenAbdelhafid, Adel M. Alimi","Fractal-based system for Arabic/Latin, printed/handwritten script identification.",ICPR,2008,Conference and Workshop Papers,fractalbasedsystemforarabiclatinprintedhandwrittenscriptidentification2008,,Fractalbased system ArabicLatin printedhandwritten script identification
3634,"Rohit Prasad, Shirin Saleem, Matin Kamali, Ralf Meermeier, Premkumar Natarajan",Improvements in hidden Markov model based Arabic OCR.,ICPR,2008,Conference and Workshop Papers,improvementsinhiddenmarkovmodelbasedarabicocr2008,,Improvements hidden Markov model based Arabic OCR
3635,"Majid Ziaratban, Karim Faez",A novel two-stage algorithm for baseline estimation and correction in Farsi and Arabic handwritten text line.,ICPR,2008,Conference and Workshop Papers,anoveltwostagealgorithmforbaselineestimationandcorrectioninfarsiandarabichandwrittentextline2008,,novel twostage algorithm baseline estimation correction Farsi Arabic handwritten text line
3636,"Abdelwadood Moh&apos;d A. Mesleh, Ghassan Kanaan",Arabic Text Categorization System - Using Ant Colony Optimization-Based Feature Selection.,ICSOFT,2008,Conference and Workshop Papers,arabictextcategorizationsystemusingantcolonyoptimizationbasedfeatureselection2008,,Arabic Text Categorization System Ant Colony OptimizationBased Feature Selection
3637,Hend S. Al-Khalifa,Building an Arabic learning object repository with an ad hoc recommendation engine.,iiWAS,2008,Conference and Workshop Papers,buildinganarabiclearningobjectrepositorywithanadhocrecommendationengine2008,,Building Arabic learning object repository ad hoc recommendation engine
3638,"Sundus Hamoodi, Asim El-Sheikh",Culture Reflection in Arabic Websites.,IKE,2008,Conference and Workshop Papers,culturereflectioninarabicwebsites2008,,Culture Reflection Arabic Websites
3639,"Farag Ahmed, Andreas Nürnberger",Arabic/English word translation disambiguation approach based on naive Bayesian classifier.,IMCSIT,2008,Conference and Workshop Papers,arabicenglishwordtranslationdisambiguationapproachbasedonnaivebayesianclassifier2008,,ArabicEnglish word translation disambiguation approach based naive Bayesian classifier
3640,"Noor Ahmed Shaikh, Zubair Ahmed Shaikh, Ghulam Ali",Segmentation of Arabic Text into Characters for Recognition.,IMTIC,2008,Conference and Workshop Papers,segmentationofarabictextintocharactersforrecognition2008,,Segmentation Arabic Text Characters Recognition
3641,"Azra Nahid Ali, Mohamed Lahrouchi, Michael Ingleby","Vowel epenthesis, acoustics and phonology patterns in Moroccan Arabic.",INTERSPEECH,2008,Conference and Workshop Papers,vowelepenthesisacousticsandphonologypatternsinmoroccanarabic2008,,Vowel epenthesis acoustics phonology patterns Moroccan Arabic
3642,"Yousef Ajami Alotaibi, Khondaker Abdullah Al Mamun, Muhammad Ghulam",Study on unique pharyngeal and uvular consonants in foreign accented Arabic.,INTERSPEECH,2008,Conference and Workshop Papers,studyonuniquepharyngealanduvularconsonantsinforeignaccentedarabic2008,,Study unique pharyngeal uvular consonants foreign accented Arabic
3643,"Liz Dockendorf, Dalal Almubayei, Matthew Benton",Testing a large corpus of natural standard Arabic for rhythm class.,INTERSPEECH,2008,Conference and Workshop Papers,testingalargecorpusofnaturalstandardarabicforrhythmclass2008,,Testing corpus natural Arabic rhythm class
3644,"Ahmad Emami, Imed Zitouni, Lidia Mangu",Rich morphology based n-gram language models for Arabic.,INTERSPEECH,2008,Conference and Workshop Papers,richmorphologybasedngramlanguagemodelsforarabic2008,,Rich morphology based ngram language models Arabic
3645,"Lori Lamel, Abdelkhalek Messaoudi, Jean-Luc Gauvain",Investigating morphological decomposition for transcription of Arabic broadcast news and broadcast conversation data.,INTERSPEECH,2008,Conference and Workshop Papers,investigatingmorphologicaldecompositionfortranscriptionofarabicbroadcastnewsandbroadcastconversationdata2008,,Investigating morphological decomposition transcription Arabic broadcast news broadcast conversation data
3646,Slim Ouni,Aspects of pharyngealized phonemes in Arabic using articulography.,INTERSPEECH,2008,Conference and Workshop Papers,aspectsofpharyngealizedphonemesinarabicusingarticulography2008,,Aspects pharyngealized phonemes Arabic articulography
3647,"Dimitra Vergyri, Arindam Mandal, Wen Wang 0001, Andreas Stolcke, Jing Zheng, Martin Graciarena, David Rybach, Christian Gollan, Ralf Schlüter, Katrin Kirchhoff, Arlo Faria, Nelson Morgan",Development of the SRI/nightingale Arabic ASR system.,INTERSPEECH,2008,Conference and Workshop Papers,developmentofthesrinightingalearabicasrsystem2008,,Development SRInightingale Arabic ASR system
3648,"Khaled Al-Ghoneim, Abdulrahman Alarifi",Online Arabic Character Recognition for Handheld Devices.,IPCV,2008,Conference and Workshop Papers,onlinearabiccharacterrecognitionforhandhelddevices2008,,Online Arabic Character Recognition Handheld Devices
3649,"Yousef S. Elarian, Sabri A. Mahmoud",An Adaptive Line Segmentation Algorithm (ALSA) for Arabic.,IPCV,2008,Conference and Workshop Papers,anadaptivelinesegmentationalgorithmalsaforarabic2008,,Adaptive Line Segmentation Algorithm ALSA Arabic
3650,"Abdelghani Bellaachia, Ghita Amor-Tijani",Proper nouns in English-Arabic Cross Language Information Retrieval.,ISCC,2008,Conference and Workshop Papers,propernounsinenglisharabiccrosslanguageinformationretrieval2008,,Proper nouns EnglishArabic Cross Language Information Retrieval
3651,"Abdelghani Bellaachia, Ghita Amor-Tijani",OOV words in an English-Arabic CLIR system.,ISCC,2008,Conference and Workshop Papers,oovwordsinanenglisharabicclirsystem2008,,OOV words EnglishArabic CLIR system
3652,"Siham Boulaknadel, Béatrice Daille, Driss Aboutajdine",Multi-word term indexing for Arabic document retrieval.,ISCC,2008,Conference and Workshop Papers,multiwordtermindexingforarabicdocumentretrieval2008,,Multiword term indexing Arabic document retrieval
3653,Mohammad Shirali-Shahreza,Pseudo-space Persian/Arabic text steganography.,ISCC,2008,Conference and Workshop Papers,pseudospacepersianarabictextsteganography2008,,Pseudospace PersianArabic text steganography
3654,"Neila Mezghani, Amar Mitiche",A Gibbsian Kohonen Network for Online Arabic Character Recognition.,ISVC,2008,Conference and Workshop Papers,agibbsiankohonennetworkforonlinearabiccharacterrecognition2008,,Gibbsian Kohonen Network Online Arabic Character Recognition
3655,"Jawad Hasan Yasin AlKhateeb, Jinchang Ren, Stanley S. Ipson, Jianmin Jiang",Knowledge-Based Baseline Detection and Optimal Thresholding for Words Segmentation in Efficient Pre-Processing of Handwritten Arabic Text.,ITNG,2008,Conference and Workshop Papers,knowledgebasedbaselinedetectionandoptimalthresholdingforwordssegmentationinefficientpreprocessingofhandwrittenarabictext2008,,KnowledgeBased Baseline Detection Optimal Thresholding Words Segmentation Efficient PreProcessing Handwritten Arabic Text
3656,"Laurent Besacier, Atef Ben Youssef, Hervé Blanchon",The LIG Arabic/English speech translation system at IWSLT08.,IWSLT,2008,Conference and Workshop Papers,theligarabicenglishspeechtranslationsystematiwslt082008,,LIG ArabicEnglish speech translation system IWSLT08
3657,"Holger Schwenk, Yannick Estève, Sadaf Abdul-Rauf",The LIUM Arabic/English statistical machine translation system for IWSLT 2008.,IWSLT,2008,Conference and Workshop Papers,theliumarabicenglishstatisticalmachinetranslationsystemforiwslt20082008,,LIUM ArabicEnglish statistical machine translation system IWSLT 2008
3658,"Nasser Abouzakhar, Ben Allison, Louise Guthrie",Unsupervised Learning-based Anomalous Arabic Text Detection.,LREC,2008,Conference and Workshop Papers,unsupervisedlearningbasedanomalousarabictextdetection2008,,Unsupervised Learningbased Anomalous Arabic Text Detection
3659,"Ghazi Abuhakema, Reem Faraj, Anna Feldman, Eileen Fitzpatrick",Annotating an Arabic Learner Corpus for Error.,LREC,2008,Conference and Workshop Papers,annotatinganarabiclearnercorpusforerror2008,,Annotating Arabic Learner Corpus Error
3660,"Mohamed Attia, Mohsen A. Rashwan, Ahmed Ragheb, Mohamed Al-Badrashiny, Husein Al-Basoumy",A Compact Arabic Lexical Semantics Language Resource Based on the Theory of Semantic Fields.,LREC,2008,Conference and Workshop Papers,acompactarabiclexicalsemanticslanguageresourcebasedonthetheoryofsemanticfields2008,27.0,Compact Arabic Lexical Semantics Language Resource Based Theory Semantic Fields
3661,"Chomicha Bendahman, Meghan Lammie Glenn, Djamel Mostefa, Niklas Paulsson, Stephanie M. Strassel",Quick Rich Transcriptions of Arabic Broadcast News Speech Data.,LREC,2008,Conference and Workshop Papers,quickrichtranscriptionsofarabicbroadcastnewsspeechdata2008,,Quick Rich Transcriptions Arabic Broadcast News Speech Data
3662,"Viktor Bielický, Otakar Smrz",Building the Valency Lexicon of Arabic Verbs.,LREC,2008,Conference and Workshop Papers,buildingthevalencylexiconofarabicverbs2008,,Building Valency Lexicon Arabic Verbs
3663,"Siham Boulaknadel, Béatrice Daille, Driss Aboutajdine",A Multi-Word Term Extraction Program for Arabic Language.,LREC,2008,Conference and Workshop Papers,amultiwordtermextractionprogramforarabiclanguage2008,,MultiWord Term Extraction Program Arabic Language
3664,"Benjamin Farber, Dayne Freitag, Nizar Habash, Owen Rambow",Improving NER in Arabic Using a Morphological Tagger.,LREC,2008,Conference and Workshop Papers,improvingnerinarabicusingamorphologicaltagger2008,,Improving NER Arabic Morphological Tagger
3665,"Nizar Habash, Ryan Roth",Identification of Naturally Occurring Numerical Expressions in Arabic.,LREC,2008,Conference and Workshop Papers,identificationofnaturallyoccurringnumericalexpressionsinarabic2008,,Identification Naturally Occurring Numerical Expressions Arabic
3666,Jack Halpern,Exploiting Lexical Resources for Disambiguating CJK and Arabic Orthographic Variants.,LREC,2008,Conference and Workshop Papers,exploitinglexicalresourcesfordisambiguatingcjkandarabicorthographicvariants2008,,Exploiting Lexical Resources Disambiguating CJK Arabic Orthographic Variants
3667,"Sasa Hasan, Hermann Ney",A Multi-Genre SMT System for Arabic to French.,LREC,2008,Conference and Workshop Papers,amultigenresmtsystemforarabictofrench2008,,MultiGenre SMT System Arabic French
3668,"Mohamed Maamouri, Ann Bies, Seth Kulick",Enhancing the Arabic Treebank - a Collaborative Effort toward New Annotation Guidelines.,LREC,2008,Conference and Workshop Papers,enhancingthearabictreebankacollaborativeefforttowardnewannotationguidelines2008,,Enhancing Arabic Treebank Collaborative Effort Annotation Guidelines
3669,"Mohamed Maamouri, Seth Kulick, Ann Bies",Diacritic Annotation in the Arabic Treebank and its Impact on Parser Evaluation.,LREC,2008,Conference and Workshop Papers,diacriticannotationinthearabictreebankanditsimpactonparserevaluation2008,,Diacritic Annotation Arabic Treebank Impact Parser Evaluation
